CR,CYKITFEAVWHO5087,Interest,2017-04-30,None,33311745,33161008,0.0,1
CR,RINAUSHZBMVT7576,Interest,2017-04-30,None,33311745,33790306,0.0,2
CR,WGEVCNAUTKHI9142,Interest,2017-04-30,None,33311745,33574469,43.2,3
CR,KOHPRXLIAUNT8351,Interest,2017-04-30,None,33311745,33145826,38.35,4
CR,CEQUYVLDKZGS1504,Interest,2017-04-30,None,33311745,33975956,-112.15,5
CR,YIBMUJNRWZKV3877,Interest,2017-04-30,None,33311745,33311745,0.0,6
CR,RSABIEQFUVJX3199,Interest,2017-04-30,None,33311745,33776832,6.3,7
CR,BWNGYDIUVQAF6194,Interest,2017-04-30,None,33311745,33447995,6.3,8
CR,SWDLJEKRHINZ6143,Interest,2017-04-30,None,33311745,33197522,8.7,9
CR,GPIZBMCEQRLY4079,Interest,2017-04-30,None,33311745,33551592,2.1,10
CR,CSEBIQJHFRPX5727,Interest,2017-04-30,None,33311745,33952537,20.7,11
CR,CUEABOQTXPKV2734,Interest,2017-04-30,None,33311745,33600296,0.0,12
CR,UGRJHFTIMNBW7272,Interest,2017-04-30,None,33311745,33191353,0.0,13
CR,WBVZTMFYXQEI6428,Interest,2017-04-30,None,33311745,33638641,0.0,14
CR,XFBGJKHUWRLM8523,Interest,2017-04-30,None,33311745,33321809,0.0,15
CR,XQWLZMCKBHDG8634,Interest,2017-04-30,None,33311745,33927944,0.0,16
CR,QZKYSFODJEMX4881,Interest,2017-04-30,None,33311745,33407345,0.0,17
CR,KGDXYLOZRTVW7017,Interest,2017-04-30,None,33311745,33767293,0.0,18
CR,HPKTQZOFXAEL3876,Interest,2017-04-30,None,33311745,33993599,0.0,19
CR,SNJXYVMZPTCG1581,Interest,2017-04-30,None,33311745,33371663,0.0,20
CR,XRLNAYIKBHOZ9548,Interest,2017-04-30,None,33311745,33839906,0.0,21
CR,ACGSPHOXWFNL2899,Interest,2017-04-30,None,33311745,33840787,0.0,22
CR,NGQBVLRTEAUC8404,Interest,2017-04-30,None,33311745,33842134,0.0,23
CR,AMWJNVQBSGIR7577,Interest,2017-04-30,None,33311745,33277820,0.0,24
CR,QNADTYCVHLWK3984,Interest,2017-04-30,None,33311745,33380384,0.0,25
CR,QGALTRKZBNOP1138,Interest,2017-04-30,None,33311745,33139766,0.0,26
CR,ZQLWIXDBHJFM7700,Interest,2017-04-30,None,33311745,33493090,0.0,27
CR,PNZWBKVCUDGA3699,Interest,2017-04-30,None,33311745,33340424,0.0,28
CR,BNUTWJQMYDIA3274,Interest,2017-04-30,None,33311745,33208481,0.0,29
CR,KUIAOSVRYWQH3323,Interest,2017-04-30,None,33311745,33581657,0.0,30
